university_admission_code,university_code,university_name,institution_type,region,province,major_group_code,major_group_name,submajor_code,submajor_name,major_admission_code,major_code,major_name,admission_method,subject_combination,combination_group,cutoff_score,score_scale,cutoff_score_30,is_scale_40,weighted_subject,weighted_subject_factor,gender_requirement,honors_program,campus,cutoff_2021,cutoff_2022,cutoff_2023,cutoff_2024,years_observed,cutoff_avg_recent,cutoff_std_recent,cutoff_trend,history_ambiguous,job_category,mapping_basis,mapping_confidence,job_demand_level,job_posting_count,job_avg_salary_million,job_median_salary_million,job_avg_experience_months,note
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310105,7310105,Kinh tế phát triển,THPTQG,A01,A,27.2,30,27.2,False,,,,,,27.5,27.5,27.35,27.2,4,27.35,0.12,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310105,7310105,Kinh tế phát triển,THPTQG,D01,D,27.2,30,27.2,False,,,,,,27.5,27.5,27.35,27.2,4,27.35,0.12,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310105,7310105,Kinh tế phát triển,THPTQG,D07,D,27.2,30,27.2,False,,,,,,27.5,27.5,27.35,27.2,4,27.35,0.12,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310106,7310106,Kinh tế quốc tế,THPTQG,A00,A,27.54,30,27.54,False,,,,,,28.05,27.75,27.35,27.54,4,27.55,0.16,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310106,7310106,Kinh tế quốc tế,THPTQG,A01,A,27.54,30,27.54,False,,,,,,28.05,27.75,27.35,27.54,4,27.55,0.16,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310106,7310106,Kinh tế quốc tế,THPTQG,D01,D,27.54,30,27.54,False,,,,,,28.05,27.75,27.35,27.54,4,27.55,0.16,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Kinh tế - Quản trị kinh doanh - Thương Mại,,,7310106,7310106,Kinh tế quốc tế,THPTQG,D07,D,27.54,30,27.54,False,,,,,,28.05,27.75,27.35,27.54,4,27.55,0.16,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Toán học và thống kê,,,7310107,7310107,Thống kê kinh tế,THPTQG - Thang 40,A00,A,36.23,40,27.17,True,Toán,2.0,,,,27.3,27.2,27.15,27.17,4,27.17,0.02,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,Môn Toán hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Toán học và thống kê,,,7310107,7310107,Thống kê kinh tế,THPTQG - Thang 40,A01,A,36.23,40,27.17,True,Toán,2.0,,,,27.3,27.2,27.15,27.17,4,27.17,0.02,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,Môn Toán hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Toán học và thống kê,,,7310107,7310107,Thống kê kinh tế,THPTQG - Thang 40,D01,D,36.23,40,27.17,True,Toán,2.0,,,,27.3,27.2,27.15,27.17,4,27.17,0.02,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,Môn Toán hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Toán học và thống kê,,,7310107,7310107,Thống kê kinh tế,THPTQG - Thang 40,D07,D,36.23,40,27.17,True,Toán,2.0,,,,27.3,27.2,27.15,27.17,4,27.17,0.02,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,Môn Toán hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Toán học và thống kê,,,7310108,7310108,Toán kinh tế,THPTQG - Thang 40,A00,A,36.2,40,27.15,True,Toán,2.0,,,,27.4,27.15,26.96,27.15,4,27.09,0.09,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,Môn Toán hệ số 2
KHA,KHA,Đại Học Kinh Tế Quốc Dân,,,,,Toán học và thống kê,,,7310108,7310108,Toán kinh tế,THPTQG - Thang 40,A01,A,36.2,40,27.15,True,Toán,2.0,,,,27.4,27.15,26.96,27.15,4,27.09,0.09,Ổn định,False,sản_xuất_lao_động_phổ_thông_cơ_khí,major_name_keyword,high,Rất cao,6341.0,14.25411899313501,12.5,15.09746096830153,Môn Toán hệ số 2
