year,exam_program,province_code,candidate_count,mean_math_score,mean_literature_score,mean_physics_score,mean_chemistry_score,mean_biology_score,mean_history_score,mean_geography_score,mean_civics_score,mean_economics_law_score,mean_informatics_score,mean_industrial_technology_score,mean_agricultural_technology_score,mean_foreign_language_score,mean_a00_score,mean_a01_score,mean_a02_score,mean_b00_score,mean_c00_score,mean_c01_score,mean_c02_score,mean_d01_score,mean_d07_score,count_math_score,count_literature_score,count_physics_score,count_chemistry_score,count_biology_score,count_history_score,count_geography_score,count_civics_score,count_economics_law_score,count_informatics_score,count_industrial_technology_score,count_agricultural_technology_score,count_foreign_language_score,count_a00_score,count_a01_score,count_a02_score,count_b00_score,count_c00_score,count_c01_score,count_c02_score,count_d01_score,count_d07_score
2021,pre_2025,47,11984,6.5909,6.4616,6.5959,6.6855,5.7887,4.9751,6.9717,8.4219,,,,,5.9672,20.9875,21.2047,20.0941,20.1896,18.3026,20.9786,21.0529,19.1537,21.2816,11811,11834,3827,3855,3793,8069,7974,7432,0,0,0,0,11215,3805,3744,3744,3791,7973,3731,3729,11180,3725
2021,pre_2025,48,30239,6.5249,5.906,6.4604,6.602,5.4105,4.8277,6.8045,8.1941,,,,,6.1434,20.7274,21.055,19.5333,19.6876,17.3861,20.2868,20.4257,19.1643,21.1795,30101,29973,11161,11167,11068,18903,18770,13813,0,0,0,0,24682,11104,10776,11007,11068,18757,10975,10974,24585,10731
2021,pre_2025,49,16295,6.62,6.6528,6.1189,6.631,5.6328,4.9297,7.0279,8.6269,,,,,5.7786,20.1368,19.8768,19.1543,19.6747,18.2835,20.4961,21.0071,19.3389,20.3928,16203,16175,8196,8209,8144,8045,7880,6415,0,0,0,0,14523,8177,8087,8114,8144,7880,8108,8109,14498,8073
2021,pre_2025,50,10476,6.4987,6.7968,6.2081,6.6744,5.8619,5.104,7.0812,8.5447,,,,,5.5825,20.3616,20.0902,19.5466,20.0262,18.8112,20.7383,21.2069,19.0717,20.5556,10397,10378,4068,4103,4062,6350,6183,5542,0,0,0,0,9571,4059,4015,4018,4062,6181,4016,4015,9559,4007
2021,pre_2025,51,12059,6.8354,7.0648,6.6182,6.8089,6.1675,5.7547,7.4569,8.8265,,,,,6.2838,21.1012,21.311,20.4541,20.661,20.1947,21.4918,21.6829,20.3629,21.4892,11876,11977,4519,4545,4517,7484,7325,6672,0,0,0,0,11133,4514,4429,4485,4516,7320,4475,4475,11121,4424
2021,pre_2025,52,12906,6.9476,6.6385,6.2613,6.4006,5.369,4.8964,6.9392,8.5022,,,,,6.7356,20.2566,20.9605,19.2291,19.3732,18.3067,20.6451,20.7836,20.6641,21.08,12856,12789,6998,6981,6918,5852,5792,4633,0,0,0,0,11483,6965,6820,6903,6918,5791,6900,6897,11438,6792
2021,pre_2025,53,16113,6.9351,6.9705,6.4296,6.6487,5.7401,5.1341,7.1777,8.6152,,,,,6.0232,20.6088,20.4721,19.6959,19.9254,19.0137,21.1503,21.3646,20.1252,20.6787,16028,15980,8774,8808,8753,7264,7150,6384,0,0,0,0,15071,8756,8662,8701,8751,7149,8696,8695,15041,8646
2021,pre_2025,54,13643,6.1805,6.3231,6.0601,6.305,5.841,5.0651,6.9479,8.487,,,,,5.3188,19.7812,19.7339,19.3112,19.5567,18.1797,20.1404,20.3904,18.1136,19.9806,13385,13477,4223,4292,4235,9317,9163,7817,0,0,0,0,11974,4210,4140,4153,4235,9157,4146,4146,11949,4128
2021,pre_2025,55,12061,6.6077,6.7541,6.4232,6.8767,6.1574,5.218,7.0936,8.5115,,,,,5.8239,20.9551,20.9193,20.1884,20.7992,18.9703,21.1022,21.4618,19.4475,21.273,11876,11528,4448,4774,4674,7220,7068,6085,0,0,0,0,10369,4424,4230,4326,4672,7064,4265,4271,10321,4211
2021,pre_2025,56,13135,6.6697,6.2807,6.5332,6.8528,6.1347,5.1316,7.1452,8.7148,,,,,5.6566,21.0761,20.8954,20.356,20.6873,18.342,20.879,21.2056,18.888,21.2132,12994,13007,4781,4838,4787,8264,8198,6823,0,0,0,0,11518,4771,4680,4720,4787,8198,4721,4718,11504,4673
